TERM1	INTERACTION	TERM2	KAPPA_SIMILARITY
GO:0044421	kappa	GO:0060090	-0.0049
GO:0044421	kappa	GO:0040011	0.09
GO:0044421	kappa	GO:0072507	0.019
GO:0044421	kappa	GO:0016323	0.017
GO:0044421	kappa	GO:0005615	0.8
GO:0044421	kappa	GO:0016477	0.1
GO:0044421	kappa	GO:0034329	0.019
GO:0044421	kappa	GO:0071944	-0.004
GO:0044421	kappa	GO:0070371	0.035
GO:0044421	kappa	GO:0051480	-0.0012
GO:0044421	kappa	GO:0004713	-0.024
GO:0044421	kappa	GO:0072001	0.022
GO:0044421	kappa	GO:0006959	0.049
GO:0044421	kappa	GO:0004364	-0.0062
GO:0044421	kappa	GO:0005912	-0.021
GO:0044421	kappa	GO:0008015	0.016
GO:0044421	kappa	GO:0002757	-0.046
GO:0044421	kappa	GO:0051146	-0.0018
GO:0044421	kappa	GO:0035272	0.03
GO:0044421	kappa	GO:0050803	0.0065
GO:0044421	kappa	GO:0003008	-0.0056
GO:0044421	kappa	GO:0030674	-0.0022
GO:0044421	kappa	GO:0004930	-0.021
GO:0044421	kappa	GO:0006937	0.011
GO:0044421	kappa	GO:0005923	-0.022
GO:0044421	kappa	GO:0043296	-0.026
GO:0044421	kappa	GO:0008528	-0.011
GO:0044421	kappa	GO:0019199	0.019
GO:0044421	kappa	GO:0060089	-0.014
GO:0044421	kappa	GO:0044459	0.038
GO:0044421	kappa	GO:0030595	0.098
GO:0044421	kappa	GO:0034330	0.014
GO:0044421	kappa	GO:0031589	0.034
GO:0044421	kappa	GO:0005578	0.31
GO:0044421	kappa	GO:0002684	0.058
GO:0044421	kappa	GO:0022603	0.035
GO:0044421	kappa	GO:0009986	0.13
GO:0044421	kappa	GO:0042692	-0.0075
GO:0044421	kappa	GO:0040012	0.088
GO:0044421	kappa	GO:0043410	0.043
GO:0044421	kappa	GO:0070374	0.037
GO:0044421	kappa	GO:0022612	0.02
GO:0002694	kappa	GO:0030335	0.075
GO:0002694	kappa	GO:0016064	0.15
GO:0002694	kappa	GO:0009897	0.16
GO:0002694	kappa	GO:0004896	0.067
GO:0002694	kappa	GO:0051410	-0.0023
GO:0002694	kappa	GO:0018212	0.19
GO:0002694	kappa	GO:0005604	-0.0019
GO:0002694	kappa	GO:0022610	0.066
GO:0002694	kappa	GO:0006956	-8e-04
GO:0002694	kappa	GO:0007160	0.031
GO:0002694	kappa	GO:0006958	-0.0087
GO:0002694	kappa	GO:0044057	0.043
GO:0002694	kappa	GO:0034332	0.029
GO:0002694	kappa	GO:0007155	0.067
GO:0002694	kappa	GO:0009743	0.024
GO:0002694	kappa	GO:0045177	-0.0038
GO:0002694	kappa	GO:0046903	0.11
GO:0002694	kappa	GO:0045667	0.018
GO:0002694	kappa	GO:0031252	-0.0041
GO:0002694	kappa	GO:0002443	0.3
GO:0002694	kappa	GO:0070161	-0.00035
GO:0002694	kappa	GO:0001763	0.03
GO:0002694	kappa	GO:0050707	0.12
GO:0002694	kappa	GO:0019932	0.019
GO:0002694	kappa	GO:0051272	0.077
GO:0002694	kappa	GO:0048870	0.1
GO:0002694	kappa	GO:0006935	0.086
GO:0002694	kappa	GO:0005516	-0.017
GO:0002694	kappa	GO:0006874	0.021
GO:0002694	kappa	GO:0005886	0.035
GO:0002694	kappa	GO:0050776	0.34
GO:0002694	kappa	GO:0031012	0.0061
GO:0002694	kappa	GO:0019955	0.024
GO:0002694	kappa	GO:0004867	-0.0092
GO:0002694	kappa	GO:0050900	0.18
GO:0002694	kappa	GO:0004872	0.086
GO:0002694	kappa	GO:0055002	0.0069
GO:0002694	kappa	GO:0042330	0.086
GO:0002694	kappa	GO:0002682	0.43
GO:0002694	kappa	GO:0005509	-0.032
GO:0002694	kappa	GO:0003013	0.027
GO:0002694	kappa	GO:0055001	0.012
GO:0002694	kappa	GO:0002009	0.042
GO:0002694	kappa	GO:0016324	-0.012
GO:0002694	kappa	GO:0030054	-0.028
GO:0002694	kappa	GO:0009581	0.0027
GO:0002694	kappa	GO:0002429	0.27
GO:0002694	kappa	GO:0015026	0.023
GO:0002694	kappa	GO:2000147	0.073
GO:0002694	kappa	GO:0060326	0.086
GO:0002694	kappa	GO:0005911	-0.011
GO:0002694	kappa	GO:0044420	-0.0054
GO:0002694	kappa	GO:0004888	0.097
GO:0002694	kappa	GO:0003823	0.019
GO:0002694	kappa	GO:0019724	0.16
GO:0002694	kappa	GO:0004714	0.0019
