ACTR2	10.661	8.786	1.766	19773001.15
ACTR3	9.783	9.380	0.381	16455263.62
ACTR3B	3.124	2.740	0.427	NA
ACTR5	4.347	3.727	0.625	NA
ACTR6	5.493	4.727	0.884	NA
ACTR8	5.961	5.829	0.165	NA
ACY3	2.724	2.498	0.146	NA
ACYP1	4.252	2.687	1.423	378972.8334
ACYP2	1.353	1.536	0.013	NA
ADA	5.708	6.250	-0.321	1220857.284
ADAL	3.020	2.720	0.218	NA
ADAM10	7.370	6.586	0.767	96283.57372
ADAM15	3.502	4.263	-0.800	NA
ADAM17	5.307	5.324	0.057	NA
ADAM19	4.572	4.344	0.185	NA
ADAM22	3.659	4.141	-0.664	NA
ADAM8	5.628	6.367	-0.538	NA
ADAM9	5.646	5.832	-0.143	NA
ADAMTS12	3.962	4.322	-0.203	31703.46439
ADAP1	3.771	5.275	-1.562	79142.97351
ADAR	8.883	9.350	-0.468	2190290.264
ADARB2	0.986	0.438	0.416	NA
ADAT1	3.897	4.376	-0.550	NA
ADAT2	3.277	2.988	0.236	NA
ADAT3	1.064	1.599	-0.318	NA
ADCK1	3.469	2.551	0.874	NA
ADCK2	2.935	4.650	-1.720	NA
ADCK3	3.732	4.057	-0.178	NA
ADCK4	3.908	4.512	-0.440	NA
ADCK5	2.881	3.339	-0.297	NA
ADCY3	5.773	6.926	-1.101	NA
ADCY7	4.775	5.902	-1.180	NA
ADD1	7.897	7.480	0.375	388453.8371
ADD3	6.626	6.698	-0.284	270842.5546
ADH5	7.785	6.973	0.856	1774601.196
ADI1	5.174	4.702	0.403	794828.7841
ADIPOR1	4.001	6.186	-2.740	NA
ADIPOR2	5.383	5.344	-0.121	NA
ADK	6.932	6.283	0.524	1052369.511
ADNP	6.729	7.144	-0.443	243994.5278
ADNP2	4.692	5.431	-0.684	NA
ADO	3.574	3.990	-0.340	NA
ADPGK	5.282	6.015	-0.805	367029.969
ADPRH	4.908	4.589	0.166	655909.0377
ADPRHL2	4.711	5.205	-0.376	1021962.888
ADPRM	2.971	3.328	-0.075	NA
ADRBK1	6.448	8.047	-1.669	639249.015
ADRBK2	4.377	6.270	-1.937	NA
ADRM1	7.219	6.879	0.400	1849496.88
ADSL	6.863	7.540	-0.615	1577509.287
ADSS	6.907	6.275	0.518	1111560.407
AEBP2	5.485	5.549	0.025	NA
AEN	4.802	5.191	-0.374	NA
AES	6.432	7.578	-1.265	162087.7792
AFAP1L2	2.602	0.993	1.456	NA
AFF1	6.576	6.544	0.115	NA
AFF4	4.814	5.183	-0.226	NA
AFG3L2	6.931	7.375	-0.339	1293779.466
AFMID	4.374	3.681	0.778	NA
AFTPH	6.688	7.451	-0.695	89139.44482
AGA	4.920	4.248	0.736	23141.46602
AGAP2	5.029	4.998	-0.062	53395.16248
AGAP3	3.726	5.374	-1.564	NA
AGBL5	2.088	4.966	-3.329	NA
AGFG1	5.782	6.782	-1.146	674895.3285
AGFG2	4.719	4.969	-0.014	NA
AGGF1	5.163	6.035	-0.926	NA
AGK	6.428	5.639	0.834	1169436.688
AGL	7.034	6.071	0.839	418118.6284
AGMAT	3.621	3.084	0.488	NA
AGPAT1	3.070	4.112	-1.224	33986.63415
AGPAT2	1.633	3.242	-1.438	NA
AGPAT3	5.371	6.081	-0.676	613922.0322
AGPAT4	2.076	1.239	0.851	NA
AGPAT5	6.936	6.853	0.149	312202.3386
AGPAT6	4.408	5.858	-1.397	NA
AGPAT9	2.209	1.028	0.665	NA
AGPS	6.952	6.348	0.553	636407.0094
AGRN	5.934	6.350	-0.307	NA
AGTPBP1	5.068	6.297	-1.294	NA
AGTRAP	1.946	1.851	0.045	NA
AGXT2L2	3.168	4.567	-1.300	NA
AHCTF1	7.341	7.310	-0.004	104824.212
AHCY	8.139	7.577	0.618	6652034.186
AHCYL1	6.983	6.365	0.674	NA
AHCYL2	4.532	3.095	1.475	NA
AHI1	3.776	4.055	-0.520	NA
AHNAK	7.663	7.938	-0.094	NA
AHR	6.177	5.909	0.356	NA
AHRR	3.505	4.775	-1.135	NA
AHSA1	7.706	7.909	-0.226	3535999.403
AICDA	5.416	5.027	0.487	NA
AIDA	4.288	5.084	-0.881	114801.9772
AIF1	3.892	3.459	0.431	NA
AIFM1	7.355	6.861	0.633	3293238.084
AIFM2	5.580	5.233	0.319	NA
AIG1	4.766	4.130	0.662	NA
AIM1	7.610	7.431	-0.077	146996.4397
AIM2	4.968	5.277	-0.491	NA
AIMP1	7.033	6.309	0.822	2701398.943
AIMP2	6.765	5.227	1.466	553943.8253
AIP	6.518	6.935	-0.442	1920041.275
AK2	7.510	7.632	-0.157	14167839.99
AK3	4.895	4.858	-0.113	2034960.031
AK4	5.474	5.369	0.185	2637940.27
AKAP1	5.168	5.946	-0.828	NA
AKAP10	4.128	4.855	-0.839	NA
AKAP11	7.280	7.060	0.221	NA
AKAP13	7.827	8.210	-0.184	110641.7531
AKAP17A	4.831	6.580	-1.642	NA
AKAP5	2.428	2.790	-0.227	NA
AKAP8	5.399	5.776	-0.260	NA
AKAP8L	5.667	6.341	-0.663	64403.25695
AKAP9	7.160	7.547	-0.381	62160.39128
AKD1	2.090	1.607	0.747	NA
AKIP1	4.957	3.860	1.083	NA
AKIRIN1	5.114	5.198	-0.227	NA
AKIRIN2	6.309	4.754	1.714	NA
AKNA	6.102	7.769	-1.612	NA
AKR1A1	7.011	7.104	-0.084	NA
AKR1B1	7.157	6.441	0.530	3027569.414
AKR7A2	5.069	5.281	-0.179	1240212.939
AKT1	4.596	6.732	-2.366	122233.4952
AKT1S1	2.999	3.151	0.154	NA
AKT2	5.239	6.737	-1.559	194024.1049
AKT3	2.852	3.726	-0.683	NA
AKTIP	2.848	2.971	-0.092	NA
AL139147.1	3.292	6.502	-3.317	NA
AL590867.1	3.687	7.977	-4.312	NA
AL592284.1	1.923	4.243	-2.215	NA
ALAD	4.211	3.487	0.751	378491.4861
ALAS1	7.307	7.056	0.380	NA
ALCAM	6.433	6.068	0.308	113927.4238
ALDH16A1	5.620	5.409	0.246	618563.6274
ALDH18A1	7.684	7.601	0.156	3644813.533
ALDH1B1	5.551	5.346	0.212	NA
ALDH1L2	3.670	2.785	0.917	NA
ALDH2	4.866	4.805	0.216	947974.8132
ALDH3A2	5.418	4.825	0.421	558612.204
ALDH4A1	1.287	1.978	-0.548	NA
ALDH5A1	4.902	4.193	0.775	NA
ALDH6A1	4.658	4.249	0.363	1183960.207
ALDH7A1	4.640	3.606	1.144	382225.6732
ALDH9A1	6.917	6.229	0.679	3452879.434
ALDOA	10.829	10.457	0.581	31117389.07
ALDOC	7.550	7.549	0.270	10953572.71
ALG1	5.831	4.491	1.298	NA
ALG10	4.161	2.939	1.189	NA
ALG10B	3.433	2.324	1.156	NA
ALG11	4.402	3.062	1.488	NA
ALG12	3.941	4.284	-0.375	NA
ALG13	5.149	4.858	0.438	NA
ALG14	3.242	2.668	0.487	NA
ALG2	5.486	5.392	0.174	497512.0203
ALG3	4.694	4.925	-0.262	NA
ALG5	6.139	5.057	1.017	616302.2476
ALG6	4.915	3.966	0.858	NA
ALG8	6.161	5.361	0.494	NA
ALKBH1	4.475	3.900	0.612	NA
ALKBH2	3.377	3.762	-0.474	NA
ALKBH3	4.577	4.579	0.025	NA
ALKBH4	3.238	2.904	0.222	NA
ALKBH5	4.503	6.054	-1.581	231024.1104
ALKBH6	3.821	3.944	-0.089	NA
ALKBH7	4.304	5.181	-0.882	NA
ALKBH8	4.042	3.723	0.397	NA
ALMS1	5.764	6.185	-0.450	NA
ALOX5	6.331	6.150	0.249	NA
ALOX5AP	3.971	3.527	0.610	NA
ALPK1	4.871	5.279	-0.149	NA
ALPK2	2.700	5.092	-2.426	NA
ALS2	3.866	4.166	-0.236	NA
ALYREF	8.529	7.732	0.766	1727108.336
AMACR	4.390	3.316	0.980	NA
AMBRA1	5.770	5.760	0.074	NA
AMD1	5.178	6.523	-1.518	NA
AMDHD2	3.355	3.514	0.160	NA
AMFR	5.268	6.448	-1.253	NA
AMICA1	3.209	2.464	0.934	NA
AMMECR1	3.894	2.780	1.170	NA
AMMECR1L	3.831	3.018	0.405	NA
AMN1	2.490	1.938	0.692	NA
AMOT	3.776	2.683	0.708	NA
AMOTL1	3.462	2.595	0.470	NA
AMPD2	5.440	5.720	-0.037	390508.671
AMPD3	5.143	4.716	0.659	NA
AMZ2	4.873	6.399	-1.539	123997.618
ANAPC1	7.381	8.037	-0.734	41542.63969
ANAPC10	4.286	4.076	0.319	NA
ANAPC11	6.016	5.138	0.633	NA
ANAPC13	5.399	3.775	1.760	NA
ANAPC15	5.569	4.639	0.847	NA
ANAPC16	6.281	5.644	0.668	NA
ANAPC2	5.726	5.329	0.457	NA
ANAPC4	5.872	5.598	0.122	74280.86341
ANAPC5	6.363	7.927	-1.697	108527.1781
ANAPC7	6.417	5.874	0.604	189736.6147
ANG	1.168	0.668	0.403	NA
ANGEL1	4.176	3.777	0.460	NA
ANGEL2	4.910	4.715	0.048	NA
ANGPTL6	4.031	4.753	-0.414	NA
ANK1	3.806	3.359	-0.238	NA
ANK2	2.991	3.573	-0.115	NA
ANKFY1	5.881	5.158	0.859	129124.972
ANKH	2.495	3.668	-1.383	NA
ANKIB1	5.300	6.807	-1.503	NA
ANKLE1	2.638	2.861	0.088	NA
ANKLE2	6.076	7.041	-0.983	NA
ANKMY1	1.482	2.940	-1.418	NA
ANKRA2	3.387	3.678	-0.121	NA
ANKRD10	4.734	5.801	-0.854	NA
ANKRD11	5.910	7.323	-1.216	NA
ANKRD12	5.781	7.154	-1.368	NA
ANKRD13A	5.575	6.506	-0.992	176326.2958
ANKRD13C	3.547	4.945	-1.506	NA
ANKRD13D	2.932	4.922	-2.056	NA
ANKRD16	2.179	2.652	-0.577	NA
ANKRD17	7.862	8.086	0.001	73052.62577
ANKRD26	5.426	5.748	-0.330	NA
ANKRD27	5.353	6.103	-0.834	NA
ANKRD28	5.716	6.393	-0.617	80276.2834
ANKRD32	5.025	4.745	0.274	NA
ANKRD33B	3.581	4.448	-0.495	NA
ANKRD36	2.662	5.065	-2.357	NA
ANKRD36C	2.529	4.777	-2.083	NA
ANKRD37	5.092	5.098	0.718	NA
ANKRD39	2.733	3.600	-0.919	NA
ANKRD40	3.607	4.189	-0.629	NA
ANKRD42	1.941	1.112	0.950	NA
ANKRD44	7.123	6.692	0.315	441194.8589
ANKRD46	4.454	2.956	1.526	NA
ANKRD49	3.823	3.955	-0.304	NA
ANKRD50	2.996	2.420	0.288	NA
ANKRD52	6.246	5.240	0.962	83046.75686
ANKRD54	3.181	2.926	0.261	NA
ANKS1A	4.209	3.454	0.648	NA
ANKS3	1.783	2.976	-1.072	NA
ANKZF1	5.203	6.430	-0.885	143583.8944
ANLN	5.994	5.688	0.286	NA
ANO10	5.462	3.794	0.944	NA
ANO5	4.554	3.588	0.940	NA
ANO6	5.635	5.742	-0.136	NA
ANO8	1.204	2.000	-0.862	NA
ANO9	3.391	4.493	-0.901	NA
ANP32A	9.693	8.279	1.408	1720093.665
ANP32E	9.437	7.437	1.915	NA
ANTXR2	4.182	3.141	1.062	NA
ANXA1	4.618	2.564	1.298	2136555.443
ANXA11	7.192	7.851	-0.751	8208738.715
ANXA2	8.899	7.704	1.084	NA
ANXA4	8.116	6.684	1.303	7209375.645
ANXA5	8.765	7.670	0.853	7933931.467
ANXA6	10.737	10.142	0.637	28246140.11
ANXA7	8.003	7.652	0.408	7147403.158
AP1AR	3.297	4.355	-1.026	NA
AP1B1	7.946	7.646	0.209	1032323.648
AP1G1	7.545	6.546	0.951	1481509.351
AP1G2	6.201	6.417	-0.130	266040.5981
AP1M1	6.216	5.857	0.449	1116300.21
AP1S1	6.286	5.261	0.988	798899.6263
AP1S2	6.558	5.832	0.676	NA
AP1S3	4.570	2.971	1.908	NA
AP2A1	6.826	6.863	-0.121	1024267.948
AP2A2	6.255	5.732	0.357	375454.1679
AP2B1	8.308	7.326	0.888	570045.0184
AP2M1	7.184	7.907	-0.772	1913444.415
AP2S1	6.712	5.874	0.813	635028.3113
AP3B1	7.600	7.141	0.472	654161.9669
AP3D1	7.167	7.780	-0.668	626109.106
AP3M1	6.804	6.025	0.757	476059.7755
AP3M2	5.129	4.616	0.634	NA
AP3S1	5.733	6.796	-0.907	860492.5669
AP3S2	1.591	2.524	-1.049	NA
AP4B1	6.214	5.719	0.566	NA
AP4E1	5.017	4.356	0.503	NA
AP4M1	3.530	3.142	0.359	NA
AP4S1	3.089	1.219	1.678	37877.6832
AP5B1	3.134	4.155	-0.886	NA
AP5M1	4.722	5.213	-0.731	NA
AP5S1	2.304	2.314	0.191	NA
AP5Z1	4.854	5.364	-0.375	NA
APAF1	5.833	5.412	0.234	20791.33797
APBA3	3.417	4.509	-1.008	NA
APBB1IP	7.308	6.868	0.519	1242398.848
APBB2	2.824	3.265	-0.389	NA
APBB3	1.749	3.395	-1.645	NA
APC	5.691	6.098	-0.423	NA
APEH	7.538	7.578	-0.152	1839639.216
APEX1	7.896	7.927	-0.090	1744165.128
APEX2	5.825	5.627	0.133	NA
APH1A	4.934	6.181	-1.565	NA
APH1B	3.641	2.511	1.173	NA
API5	7.595	7.064	0.474	1313425.557
APIP	5.882	5.611	0.314	804003.9654
APITD1	1.675	2.577	-0.974	NA
APLP2	5.223	4.157	1.103	NA
APMAP	5.498	5.564	-0.062	1274675.046
