"IDS","SPEARMAN","PEARSON","SPEARMAN_FDR","PEARSON_FDR"
"B9D1-001",0.863736263736264,0.772484256735581,0.0235920644606181,0.316320105148396
"CBFA2T2-007",0.841758241758242,0.671213563986559,0.0805985426115787,0.527653949161006
"COQ10A-001",-0.837362637362637,-0.705466092400275,0.0836582980075188,0.454524446346137
"DDB1-001",0.837362637362637,0.666514876627966,0.0836582980075188,0.531099782983197
"DHCR7-003",0.868131868131868,0.86661900655568,0.0060875335240531,0.116997526380165
"ELP2-001",0.872527472527473,0.729336049519626,0,0.400367485229909
"FADS2-003",0.859340659340659,0.835929669524202,0.0326993898890362,0.172981496504837
"FAM162A-001",0.841758241758242,0.643578215606212,0.0805985426115787,0.55533769168027
"FAM92A1-001",0.837362637362637,0.85679588018273,0.0836582980075188,0.125185931017356
"FDPS-002",0.947252747252747,0.857045950721377,0,0.125185931017356
"GLTP-001",-0.863736263736264,-0.791705115160411,0.0235920644606181,0.280860788059766
"GLYCTK-005",0.859340659340659,0.581576033774964,0.0326993898890362,0.642455613244487
"GSG2-001",-0.894505494505494,-0.753129322132836,0,0.347438205992132
"GYG1-002",-0.832967032967033,-0.630365207895487,0.0949738981601534,0.57924393838466
"HMGCS1-003",0.859340659340659,0.833555685337982,0.0326993898890362,0.172981496504837
"HSDL1-001",-0.89010989010989,-0.713631509268505,0,0.445438995339932
"IER2-001",0.872527472527473,0.75206210024446,0,0.347438205992132
"IKZF1-001",0.837362637362637,0.656266501067111,0.0836582980075188,0.545016531950371
"IL6ST-001",-0.859340659340659,-0.754117656312581,0.0326993898890362,0.347438205992132
"MBIP-001",0.832967032967033,0.736979803432529,0.0949738981601534,0.398476079181638
"MVD-001",1,1,0,0
"MVK-001",0.907692307692308,0.910996910694103,0,0.0285205576073223
"NRDE2-001",0.876923076923077,0.823673647976297,0,0.188739908496783
"PPHLN1-010",0.850549450549451,0.877503219695569,0.0571723496290125,0.0899357140541701
"PPID-001",-0.841758241758242,-0.78792502238571,0.0805985426115787,0.288633255139013
"RFXAP-001",0.872527472527473,0.776843936996182,0,0.31618721207077
"RXRB-002",0.854945054945055,0.659674759294535,0.0474307718748288,0.545016531950371
"S1PR1-001",-0.850549450549451,-0.824687019283604,0.0571723496290125,0.188739908496783
"SCD-001",0.885714285714286,0.883386897802436,0,0.0899357140541701
"TMCO7-001",0.903296703296703,0.795163819899056,0,0.280860788059766
"TRIM61-001",-0.850549450549451,-0.666575270841482,0.0571723496290125,0.531099782983197
"TXNIP-001",0.837362637362637,0.760888239929594,0.0836582980075188,0.323597243657108
"ZNF607-001",0.841758241758242,0.800388792697984,0.0805985426115787,0.279448783371581
"ZNF641-201",-0.859340659340659,-0.773122627865176,0.0326993898890362,0.316320105148396
